iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   6  7.458431e+04    6.66e-03    1.92e+02   2.87e-01   1.06e+00  7.29e+06        1    1.66e-01    1.30e+00
   7  7.458431e+04    6.45e-05    5.02e+00   2.74e-02   1.07e+00  2.19e+07        1    1.60e-01    1.46e+00
   8  7.458431e+04    4.69e-07    6.05e-01   2.18e-03   1.08e+00  6.56e+07        1    2.22e-01    1.68e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  7.463852e+04    0.00e+00    2.70e+04   0.00e+00   0.00e+00  1.00e+04        0    8.09e-02    3.77e-01
   1  7.448459e+04    1.54e+02    3.70e+02   1.00e+00   1.00e+00  3.00e+04        1    2.29e-01    6.05e-01
   2  7.448449e+04    1.04e-01    5.08e+02   3.75e-01   1.01e+00  9.00e+04        1    1.37e-01    7.43e-01
   3  7.448439e+04    9.78e-02    1.03e+03   6.08e-01   1.02e+00  2.70e+05        1    1.33e-01    8.76e-01
   4  7.448435e+04    3.69e-02    6.90e+02   5.08e-01   1.03e+00  8.10e+05        1    1.31e-01    1.01e+00
   5  7.448435e+04    3.63e-03    1.07e+02   1.85e-01   1.05e+00  2.43e+06        1    1.97e-01    1.20e+00
   6  7.448435e+04    9.23e-05    6.34e+00   3.03e-02   1.06e+00  7.29e+06        1    2.00e-01    1.40e+00
   7  7.448435e+04    9.61e-07    7.76e-01   2.90e-03   1.07e+00  2.19e+07        1    1.86e-01    1.59e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  8.592915e+04    0.00e+00    2.71e+05   0.00e+00   0.00e+00  1.00e+04        0    8.96e-02    3.93e-01
   1  8.519428e+04    7.35e+02    3.81e+04   3.25e+00   1.00e+00  3.00e+04        1    2.31e-01    6.24e-01
   2  8.518484e+04    9.44e+00    2.51e+04   2.78e+00   1.01e+00  9.00e+04        1    1.58e-01    7.83e-01
   3  8.518023e+04    4.62e+00    4.23e+04   3.38e+00   1.02e+00  2.70e+05        1    1.49e-01    9.31e-01
   4  8.517885e+04    1.38e+00    2.34e+04   2.84e+00   1.03e+00  8.10e+05        1    1.46e-01    1.08e+00
   5  8.517871e+04    1.37e-01    3.02e+03   1.05e+00   1.05e+00  2.43e+06        1    1.45e-01    1.22e+00
   6  8.517871e+04    3.45e-03    1.09e+02   1.74e-01   1.06e+00  7.29e+06        1    1.47e-01    1.37e+00
   7  8.517871e+04    3.66e-05    3.77e+00   1.72e-02   1.08e+00  2.19e+07        1    1.98e-01    1.57e+00
   8  8.517871e+04    2.86e-07    4.58e-01   1.42e-03   1.08e+00  6.56e+07        1    2.02e-01    1.77e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  8.544194e+04    0.00e+00    2.31e+04   0.00e+00   0.00e+00  1.00e+04        0    8.36e-02    4.59e-01
   1  8.524944e+04    1.93e+02    1.30e+03   1.49e+00   1.00e+00  3.00e+04        1    2.17e-01    6.76e-01
   2  8.524921e+04    2.29e-01    6.75e+02   3.88e-01   1.01e+00  9.00e+04        1    1.44e-01    8.19e-01
   3  8.524911e+04    9.47e-02    9.82e+02   4.78e-01   1.03e+00  2.70e+05        1    1.59e-01    9.78e-01
   4  8.524908e+04    2.92e-02    5.57e+02   4.00e-01   1.04e+00  8.10e+05        1    1.55e-01    1.13e+00
   5  8.524908e+04    2.79e-03    8.44e+01   1.47e-01   1.05e+00  2.43e+06        1    1.78e-01    1.31e+00
   6  8.524908e+04    7.20e-05    5.69e+00   2.43e-02   1.07e+00  7.29e+06        1    1.88e-01    1.50e+00
   7  8.524908e+04    7.91e-07    6.80e-01   2.41e-03   1.08e+00  2.19e+07        1    1.54e-01    1.65e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  9.725531e+04    0.00e+00    9.60e+04   0.00e+00   0.00e+00  1.00e+04        0    1.09e-01    4.81e-01
   1  9.632112e+04    9.34e+02    3.22e+04   5.33e+00   1.00e+00  3.00e+04        1    2.87e-01    7.68e-01
   2  9.629725e+04    2.39e+01    6.76e+04   5.47e+00   1.00e+00  9.00e+04        1    2.03e-01    9.72e-01
   3  9.627717e+04    2.01e+01    1.65e+05   7.88e+00   1.00e+00  2.70e+05        1    2.00e-01    1.17e+00
   4  9.627043e+04    6.74e+00    9.28e+04   5.83e+00   1.02e+00  8.10e+05        1    1.70e-01    1.34e+00
   5  9.626979e+04    6.41e-01    9.89e+03   1.89e+00   1.04e+00  2.43e+06        1    1.65e-01    1.51e+00
   6  9.626977e+04    1.32e-02    1.98e+02   2.84e-01   1.06e+00  7.29e+06        1    2.27e-01    1.73e+00
   7  9.626977e+04    1.24e-04    3.49e+00   2.69e-02   1.08e+00  2.19e+07        1    2.65e-01    2.00e+00
   8  9.626977e+04    9.67e-07    6.80e-01   2.23e-03   1.08e+00  6.56e+07        1    1.75e-01    2.17e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  9.656222e+04    0.00e+00    1.14e+04   0.00e+00   0.00e+00  1.00e+04        0    1.06e-01    4.65e-01
   1  9.630390e+04    2.58e+02    1.43e+03   1.79e+00   1.00e+00  3.00e+04        1    3.08e-01    7.73e-01
   2  9.630361e+04    2.95e-01    3.37e+02   5.08e-01   1.00e+00  9.00e+04        1    1.80e-01    9.53e-01
   3  9.630346e+04    1.49e-01    1.00e+03   6.68e-01   1.02e+00  2.70e+05        1    1.70e-01    1.12e+00
   4  9.630341e+04    4.65e-02    5.70e+02   4.83e-01   1.03e+00  8.10e+05        1    2.65e-01    1.39e+00
   5  9.630341e+04    3.75e-03    4.31e+01   1.55e-01   1.05e+00  2.43e+06        1    1.62e-01    1.55e+00
   6  9.630341e+04    8.39e-05    3.00e+00   2.33e-02   1.07e+00  7.29e+06        1    2.39e-01    1.79e+00
   7  9.630341e+04    8.71e-07    6.39e-01   2.21e-03   1.08e+00  2.19e+07        1    2.38e-01    2.03e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  1.112446e+05    0.00e+00    2.68e+04   0.00e+00   0.00e+00  1.00e+04        0    1.36e-01    5.66e-01
   1  1.102389e+05    1.01e+03    8.04e+04   4.48e+00   1.00e+00  3.00e+04        1    3.53e-01    9.19e-01
   2  1.101997e+05    3.92e+01    1.53e+05   5.43e+00   1.01e+00  9.00e+04        1    2.04e-01    1.12e+00
   3  1.101755e+05    2.42e+01    2.14e+05   7.23e+00   1.00e+00  2.70e+05        1    1.94e-01    1.32e+00
   4  1.101687e+05    6.76e+00    8.94e+04   5.14e+00   1.02e+00  8.10e+05        1    2.27e-01    1.54e+00
   5  1.101682e+05    5.27e-01    8.04e+03   1.55e+00   1.04e+00  2.43e+06        1    2.77e-01    1.82e+00
   6  1.101682e+05    8.74e-03    2.02e+02   2.13e-01   1.05e+00  7.29e+06        1    2.57e-01    2.08e+00
   7  1.101682e+05    6.68e-05    5.69e+00   1.79e-02   1.07e+00  2.19e+07        1    1.91e-01    2.27e+00
   8  1.101682e+05    4.12e-07    4.35e-01   1.31e-03   1.07e+00  6.56e+07        1    1.88e-01    2.46e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  1.102440e+05    0.00e+00    1.09e+04   0.00e+00   0.00e+00  1.00e+04        0    1.17e-01    5.71e-01
   1  1.099601e+05    2.84e+02    1.69e+03   1.15e+00   1.00e+00  3.00e+04        1    3.03e-01    8.74e-01
   2  1.099597e+05    4.43e-01    1.80e+03   5.34e-01   1.01e+00  9.00e+04        1    1.85e-01    1.06e+00
   3  1.099594e+05    2.55e-01    2.41e+03   7.00e-01   1.02e+00  2.70e+05        1    2.09e-01    1.27e+00
   4  1.099594e+05    6.60e-02    1.04e+03   4.95e-01   1.03e+00  8.10e+05        1    2.05e-01    1.47e+00
   5  1.099594e+05    4.57e-03    1.14e+02   1.50e-01   1.05e+00  2.43e+06        1    2.06e-01    1.68e+00
   6  1.099594e+05    8.44e-05    6.48e+00   2.06e-02   1.06e+00  7.29e+06        1    1.96e-01    1.88e+00
   7  1.099594e+05    7.00e-07    5.41e-01   1.74e-03   1.07e+00  2.19e+07        1    1.92e-01    2.07e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  1.099872e+05    0.00e+00    4.56e+03   0.00e+00   0.00e+00  1.00e+04        0    1.20e-01    5.87e-01
   1  1.099377e+05    4.95e+01    1.65e+02   2.80e-01   1.00e+00  3.00e+04        1    3.10e-01    8.97e-01
   2  1.099376e+05    1.82e-02    7.71e+01   1.03e-01   1.01e+00  9.00e+04        1    1.97e-01    1.09e+00
   3  1.099376e+05    5.18e-03    6.33e+01   8.25e-02   1.03e+00  2.70e+05        1    1.89e-01    1.28e+00
   4  1.099376e+05    8.87e-04    2.64e+01   5.32e-02   1.04e+00  8.10e+05        1    2.15e-01    1.50e+00
   5  1.099376e+05    5.78e-05    4.82e+00   1.65e-02   1.05e+00  2.43e+06        1    2.09e-01    1.71e+00
   6  1.099376e+05    1.08e-06    6.25e-01   2.31e-03   1.06e+00  7.29e+06        1    2.16e-01    1.92e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  1.202058e+05    0.00e+00    6.59e+04   0.00e+00   0.00e+00  1.00e+04        0    1.29e-01    5.63e-01
   1  1.195779e+05    6.28e+02    7.68e+02   2.33e+00   1.00e+00  3.00e+04        1    3.34e-01    8.97e-01
   2  1.195776e+05    3.13e-01    3.32e+00   3.64e-01   1.00e+00  9.00e+04        1    2.12e-01    1.11e+00
   3  1.195776e+05    4.66e-02    1.06e+02   2.15e-01   1.02e+00  2.70e+05        1    2.34e-01    1.34e+00
   4  1.195776e+05    4.75e-03    2.26e+01   1.06e-01   1.04e+00  8.10e+05        1    2.98e-01    1.64e+00
   5  1.195776e+05    2.50e-04    4.50e+00   3.20e-02   1.05e+00  2.43e+06        1    2.58e-01    1.90e+00
   6  1.195776e+05    4.48e-06    1.14e+00   4.47e-03   1.06e+00  7.29e+06        1    2.19e-01    2.12e+00
   7  1.195776e+05    3.71e-08    1.22e-01   3.80e-04   1.08e+00  2.19e+07        1    2.13e-01    2.33e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  1.196076e+05    0.00e+00    1.79e+03   0.00e+00   0.00e+00  1.00e+04        0    1.32e-01    5.77e-01
   1  1.195234e+05    8.42e+01    1.42e+02   9.82e-01   1.00e+00  3.00e+04        1    3.34e-01    9.10e-01
   2  1.195234e+05    3.67e-02    1.48e+02   1.28e-01   1.01e+00  9.00e+04        1    2.13e-01    1.12e+00
   3  1.195234e+05    1.27e-02    1.56e+02   1.54e-01   1.03e+00  2.70e+05        1    2.09e-01    1.33e+00
   4  1.195234e+05    2.93e-03    6.56e+01   1.07e-01   1.04e+00  8.10e+05        1    2.39e-01    1.57e+00
   5  1.195234e+05    1.89e-04    1.04e+01   3.13e-02   1.05e+00  2.43e+06        1    2.36e-01    1.81e+00
   6  1.195234e+05    3.34e-06    1.11e+00   4.19e-03   1.06e+00  7.29e+06        1    2.14e-01    2.02e+00
   7  1.195234e+05    2.65e-08    1.02e-01   3.48e-04   1.05e+00  2.19e+07        1    2.21e-01    2.24e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  1.411673e+05    0.00e+00    1.91e+05   0.00e+00   0.00e+00  1.00e+04        0    1.56e-01    7.80e-01
   1  1.397491e+05    1.42e+03    3.61e+04   4.01e+00   1.00e+00  3.00e+04        1    3.64e-01    1.14e+00
   2  1.397273e+05    2.18e+01    8.12e+04   4.63e+00   1.01e+00  9.00e+04        1    2.45e-01    1.39e+00
   3  1.397103e+05    1.70e+01    1.25e+05   6.41e+00   1.01e+00  2.70e+05        1    2.49e-01    1.64e+00
   4  1.397057e+05    4.56e+00    5.19e+04   4.28e+00   1.02e+00  8.10e+05        1    2.38e-01    1.88e+00
   5  1.397054e+05    3.08e-01    4.47e+03   1.21e+00   1.04e+00  2.43e+06        1    2.21e-01    2.10e+00
   6  1.397054e+05    4.96e-03    1.21e+02   1.57e-01   1.06e+00  7.29e+06        1    2.40e-01    2.34e+00
   7  1.397054e+05    3.80e-05    4.53e+00   1.28e-02   1.07e+00  2.19e+07        1    2.22e-01    2.56e+00
   8  1.397054e+05    2.31e-07    3.11e-01   9.22e-04   1.07e+00  6.56e+07        1    2.27e-01    2.79e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  1.399779e+05    0.00e+00    1.72e+04   0.00e+00   0.00e+00  1.00e+04        0    1.61e-01    7.33e-01
   1  1.396114e+05    3.67e+02    2.41e+03   1.20e+00   1.00e+00  3.00e+04        1    4.72e-01    1.20e+00
   2  1.396109e+05    4.90e-01    1.68e+03   4.89e-01   1.01e+00  9.00e+04        1    3.14e-01    1.52e+00
   3  1.396107e+05    1.88e-01    1.65e+03   5.26e-01   1.03e+00  2.70e+05        1    2.88e-01    1.81e+00
   4  1.396106e+05    3.96e-02    5.96e+02   3.55e-01   1.04e+00  8.10e+05        1    2.95e-01    2.10e+00
   5  1.396106e+05    2.49e-03    6.62e+01   1.04e-01   1.05e+00  2.43e+06        1    2.78e-01    2.38e+00
   6  1.396106e+05    4.29e-05    4.72e+00   1.37e-02   1.06e+00  7.29e+06        1    3.04e-01    2.68e+00
   7  1.396106e+05    3.41e-07    3.78e-01   1.13e-03   1.07e+00  2.19e+07        1    2.86e-01    2.97e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  1.396620e+05    0.00e+00    9.22e+03   0.00e+00   0.00e+00  1.00e+04        0    1.48e-01    6.26e-01
   1  1.395682e+05    9.38e+01    1.45e+02   6.34e-01   1.00e+00  3.00e+04        1    3.57e-01    9.83e-01
   2  1.395681e+05    3.38e-02    5.88e+01   1.19e-01   1.01e+00  9.00e+04        1    2.22e-01    1.20e+00
   3  1.395681e+05    3.80e-03    2.68e+01   5.86e-02   1.02e+00  2.70e+05        1    2.16e-01    1.42e+00
   4  1.395681e+05    1.94e-04    8.02e+00   1.58e-02   1.04e+00  8.10e+05        1    2.19e-01    1.64e+00
   5  1.395681e+05    5.52e-06    1.49e+00   4.14e-03   1.06e+00  2.43e+06        1    2.33e-01    1.87e+00
   6  1.395681e+05    9.17e-08    1.90e-01   6.05e-04   1.07e+00  7.29e+06        1    2.52e-01    2.12e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  1.464043e+05    0.00e+00    6.19e+04   0.00e+00   0.00e+00  1.00e+04        0    1.82e-01    7.86e-01
   1  1.458495e+05    5.55e+02    2.18e+02   1.71e+00   1.00e+00  3.00e+04        1    4.63e-01    1.25e+00
   2  1.458492e+05    3.58e-01    1.15e+02   6.09e-01   1.00e+00  9.00e+04        1    3.47e-01    1.60e+00
   3  1.458490e+05    2.01e-01    7.87e+02   6.82e-01   1.01e+00  2.70e+05        1    2.56e-01    1.85e+00
   4  1.458489e+05    4.72e-02    3.58e+02   4.15e-01   1.03e+00  8.10e+05        1    2.84e-01    2.14e+00
   5  1.458489e+05    2.71e-03    8.30e+00   1.10e-01   1.04e+00  2.43e+06        1    2.58e-01    2.40e+00
   6  1.458489e+05    4.12e-05    3.26e+00   1.34e-02   1.06e+00  7.29e+06        1    2.52e-01    2.65e+00
   7  1.458489e+05    2.95e-07    3.42e-01   1.02e-03   1.07e+00  2.19e+07        1    2.88e-01    2.94e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  1.459690e+05    0.00e+00    9.25e+03   0.00e+00   0.00e+00  1.00e+04        0    1.43e-01    6.53e-01
   1  1.458728e+05    9.62e+01    1.80e+02   5.75e-01   1.00e+00  3.00e+04        1    3.70e-01    1.02e+00
   2  1.458728e+05    2.14e-02    1.17e+01   1.34e-01   1.00e+00  9.00e+04        1    2.63e-01    1.29e+00
   3  1.458728e+05    6.63e-03    3.60e+00   1.23e-01   1.01e+00  2.70e+05        1    2.39e-01    1.53e+00
   4  1.458728e+05    1.35e-03    4.05e+00   6.98e-02   1.02e+00  8.10e+05        1    2.40e-01    1.77e+00
   5  1.458728e+05    7.42e-05    3.61e+00   1.80e-02   1.04e+00  2.43e+06        1    2.64e-01    2.03e+00
   6  1.458728e+05    1.11e-06    6.20e-01   2.17e-03   1.05e+00  7.29e+06        1    2.40e-01    2.27e+00
