iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
  50  1.029301e+03    6.23e-04    2.04e+02   3.23e-01   1.05e+00  8.19e+07        1    1.52e-02    8.10e-01
  51  1.029301e+03    1.14e-05    5.39e+00   4.87e-02   1.13e+00  2.46e+08        1    1.54e-02    8.25e-01
  52  1.029301e+03    2.93e-07    1.93e-01   7.16e-03   1.16e+00  7.37e+08        1    1.41e-02    8.39e-01
  53  1.029301e+03    8.03e-09    1.30e-02   1.13e-03   1.16e+00  2.21e+09        1    1.42e-02    8.53e-01
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  7.038213e+03    0.00e+00    3.97e+03   0.00e+00   0.00e+00  1.00e+04        0    2.52e-02    6.33e-02
   1  7.029979e+03    8.23e+00    7.86e+01   1.15e+00   1.00e+00  3.00e+04        1    5.17e-02    1.15e-01
   2  7.029969e+03    9.33e-03    2.72e+00   6.63e-02   1.00e+00  9.00e+04        1    4.19e-02    1.57e-01
   3  7.029969e+03    3.30e-04    3.36e+00   8.51e-02   1.01e+00  2.70e+05        1    3.74e-02    1.94e-01
   4  7.029969e+03    5.03e-04    1.66e+01   1.93e-01   1.04e+00  8.10e+05        1    3.79e-02    2.32e-01
   5  7.029968e+03    4.46e-04    3.15e+01   2.85e-01   1.08e+00  2.43e+06        1    4.31e-02    2.76e-01
   6  7.029968e+03    1.64e-04    1.71e+01   2.20e-01   1.15e+00  7.29e+06        1    5.86e-02    3.34e-01
   7  7.029968e+03    2.48e-05    2.44e+00   9.34e-02   1.20e+00  2.19e+07        1    4.48e-02    3.79e-01
   8  7.029968e+03    2.17e-06    1.95e+00   2.78e-02   1.23e+00  6.56e+07        1    4.25e-02    4.22e-01
   9  7.029968e+03    1.50e-07    6.33e-01   7.23e-03   1.24e+00  1.97e+08        1    4.03e-02    4.62e-01
  10  7.029968e+03    9.28e-09    1.73e-01   1.81e-03   1.22e+00  5.90e+08        1    5.26e-02    5.15e-01
  11  7.029968e+03    6.78e-10    4.30e-02   4.47e-04   1.50e+00  1.77e+09        1    4.66e-02    5.61e-01
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  1.637904e+04    0.00e+00    9.61e+03   0.00e+00   0.00e+00  1.00e+04        0    3.64e-02    8.88e-02
   1  1.634528e+04    3.38e+01    1.11e+02   2.05e+00   1.00e+00  3.00e+04        1    7.98e-02    1.69e-01
   2  1.634514e+04    1.39e-01    2.39e+02   9.79e-01   1.00e+00  9.00e+04        1    6.11e-02    2.30e-01
   3  1.634501e+04    1.35e-01    1.59e+03   2.17e+00   1.02e+00  2.70e+05        1    5.77e-02    2.88e-01
   4  1.634484e+04    1.61e-01    5.06e+03   3.49e+00   1.05e+00  8.10e+05        1    6.71e-02    3.55e-01
   5  1.634476e+04    8.26e-02    4.89e+03   3.25e+00   1.09e+00  2.43e+06        1    5.70e-02    4.12e-01
   6  1.634475e+04    1.58e-02    1.21e+03   1.58e+00   1.14e+00  7.29e+06        1    6.27e-02    4.75e-01
   7  1.634474e+04    1.26e-03    9.95e+01   4.59e-01   1.17e+00  2.19e+07        1    6.63e-02    5.41e-01
   8  1.634474e+04    6.47e-05    3.40e+00   1.04e-01   1.20e+00  6.56e+07        1    6.21e-02    6.03e-01
   9  1.634474e+04    2.89e-06    1.98e+00   2.16e-02   1.20e+00  1.97e+08        1    5.71e-02    6.60e-01
